GrantNumber,OutputId,Title,Year
187698,60CA4D01-F564-4E3E-8326-AB6C5EAB3FA1,"Kids Cancer Alliance, Early Researcher, Rapid Fire Presentation Award 
17/09/2020
Sydney, Australia",2020
65917,BF7F8BB5-E764-4299-990E-79785BA07906,"Nom du chercheur attribué à une promotion d'étudiantes (2019-2022) en reconnaissance de ses travaux et publications utilisées dans le projet pédagogique de l'institut de formation en soins infirmiers du pays d'Erstein, 2 rue de la Laine Peignée, 67150 Erstein, France. ",2019
177995,5A762011-9354-40D2-9F73-8DE71F6B3200,Swiss Nanoconvention 2019 Image Contest,2019
177995,A635D677-21EF-48CF-B770-27ED1903737A,Mac Robertson Postgraduate Travel Scholarship,2020
177995,16E9137A-01EB-4235-A666-44064D8BA180,West of Scotland RSC Local Section Travel Bursary,2020
171592,50D4E7FC-2847-4762-8FE1-21124CFDBA7F,Mercator Award,2016
165323,4D31C10C-D050-4AB5-942D-6B0D736A6A0B,Summa cum laude,2018
140174,FE6719C3-4B3B-4D10-8487-EEE378026AD7,Prix de Faculté,2015
155074,DB0ABDB3-71C5-4E58-A569-FEAF9A57F9B6,Awarded Poster Prize at QuEBS 2015 Conference,2015
161925,EC1A052F-FDC5-42CE-9CA1-7F994E886549,"Best Poster Prize awarded at the NMC 2015 held in Auckland, NZ",2015
171285,06612ADE-163A-4A1F-AFF0-1C7D0A71B1EC,Hasting Center Invited Visiting Fellow,2017
148782,0FB29154-0721-4D54-8E0B-461EB664C6B3,Latsis Prize 2018 for the University of Geneva,2018
148782,787B38AE-8AD1-461D-991A-6D24A62A5DFA,Pierre du Bois Prize for the best thesis in International History.,2016
143980,04A90027-DE94-439C-A7B3-83C40BA98CCD,Prix François Terrier,2017
143980,412BADA3-6E28-4403-AB74-EAA27F5D7177,Prix François Terrier,2013
143980,C518FB18-F590-45D7-9336-ACD7E21255DC,"First Prize awarded  in the section ""Interventional MRI"" at ISMRM (International Society for Magnetic Resonance in Medicine ) 2015, Toronto.",2015
168535,F67AA39F-B12B-4EA3-83D6-F4FA867C6CD8,Paul Mellon Centre for British Art Research Grant,2018
151443,8AB2B1E6-6163-40B9-8884-8091C969B4BA,Franz Josef II von Liechtenstein-Preis 2017 (Universität Fribourg) für die Arbeit: „Das ikonographische Programm der byzantinischen Kirchen und die Liturgie: Untersuchungen zum Christus Anapeson“.,2017
145868,B63E33DE-FED7-4504-8FAB-8615001C730F,Best Poster Presentation Award at DFCI Postdoc and Graduate Students Retreat,2014
