PersonNumber,GrantNumber
12448,58496
138746,58496
138751,58496
15136,58496
45283,58496
80824,58496
99019,58496
111143,58507
116438,58507
116849,58507
117060,58507
117062,58507
131226,58507
78440,58507
114914,58508
126367,58508
134572,58508
134573,58508
134574,58508
134575,58508
134578,58508
134580,58508
57884,58508
95855,58508
98990,58508
62676,58510
98934,58510
102992,58511
121128,58511
130192,58511
22070,58511
77890,58511
121520,58512
75149,58512
98321,58512
54465,58514
32458,58519
128615,58520
23591,58520
32458,58520
32458,58520
85850,58520
11389,58521
116266,58521
130669,58521
502975,58521
502976,58521
520227,58521
71602,58521
103619,58522
26091,58522
53288,58522
53288,58522
74855,58522
8522,58522
99232,58522
125639,58523
134726,58523
14986,58523
48164,58523
48164,58523
54011,58523
125667,58525
136415,58525
46216,58525
77445,58525
111165,58533
111167,58533
17312,58533
57220,58533
57220,58533
80636,58533
8522,58533
138745,58534
27344,58534
50437,58534
6594,58534
74713,58534
7719,58534
89880,58534
27344,58535
30441,58535
49084,58535
5118,58535
54881,58535
117949,58536
117950,58536
134357,58536
135721,58536
26226,58536
27344,58536
45149,58536
50437,58536
54198,58536
54836,58536
6594,58536
7719,58536
8211,58536
11300,58543
64624,58543
93358,58543
20000,58545
20001,58545
8950,58546
90832,58546
98936,58546
128465,58547
128466,58547
20000,58547
84415,58547
84490,58547
98532,58547
116430,58549
116774,58549
125761,58549
130929,58549
130930,58549
503312,58549
78440,58549
113154,58550
118297,58550
118495,58550
119554,58550
87388,58550
111171,58551
116031,58551
116032,58551
116033,58551
117292,58551
121617,58551
122262,58551
125969,58551
121814,58558
124295,58558
13662,58558
117191,58559
135335,58559
500210,58559
60681,58559
9312,58559
9705,58559
10026,58565
19693,58565
3588,58575
63218,58583
63930,58585
118955,58593
9133,58593
28055,58598
6463,58598
111575,58602
17285,58602
84847,58602
10289,58607
121596,58607
37572,58607
43394,58607
65876,58607
65876,58607
12131,58608
126013,58608
85475,58608
66699,58611
111644,58612
118066,58619
118072,58619
125553,58619
125554,58619
139766,58619
40395,58619
13139,58624
23171,58624
31277,58624
107244,58630
111679,58630
14670,58630
506549,58630
106680,58636
124553,58636
32173,58636
104147,58638
12620,58638
130832,58638
25256,58638
3614,58638
504155,58638
517837,58638
116940,58639
131246,58639
131377,58639
3304,58639
62647,58639
6913,58639
94473,58639
12010,58645
120401,58645
40939,58645
32903,58646
82849,58646
111056,58656
125922,58656
9370,58656
121197,58657
12852,58657
13123,58657
27905,58657
115999,58661
115999,58661
117289,58661
129067,58661
131493,58661
134811,58661
137762,58661
137764,58661
138035,58661
19529,58661
500076,58661
507121,58661
82441,58661
8929,58661
116480,58663
121733,58663
124480,58663
12991,58663
136568,58663
18900,58663
36406,58663
43394,58663
506002,58663
518401,58663
521367,58663
122229,58664
125710,58664
126003,58664
126004,58664
12759,58664
131117,58664
509213,58664
512854,58664
515601,58664
515602,58664
6404,58664
75543,58664
80430,58664
102690,58668
118138,58668
125647,58668
128470,58668
128471,58668
129799,58668
135141,58668
139196,58668
41409,58668
46210,58668
503151,58668
56476,58668
136783,58671
20409,58671
3782,58671
49753,58671
518415,58671
71615,58671
101727,58674
108597,58674
136414,58674
124499,58691
124500,58691
126003,58691
126004,58691
127118,58691
502862,58691
510810,58691
6404,58691
80430,58691
111739,58716
118239,58717
130935,58717
25860,58717
122128,58719
122129,58719
48688,58719
9018,58740
121181,58742
29741,58742
111827,58746
118688,58746
14812,58746
4957,58746
14936,58750
111825,58752
22392,58752
122310,58754
128345,58754
97073,58754
104488,58758
121561,58758
505494,58758
75305,58758
8273,58758
75850,58759
8691,58759
66701,58762
101654,58765
91633,58765
10404,58767
27983,58767
29956,58767
52531,58767
9888,58767
105844,58768
109830,58768
113883,58768
118755,58768
125385,58768
125386,58768
126094,58768
130319,58768
134853,58768
135707,58768
138731,58768
138790,58768
4706,58768
132003,58769
89501,58769
9140,58769
3494,58770
46841,58770
505772,58770
87509,58770
111942,58772
132750,58775
47636,58775
95222,58775
9693,58775
11139,58777
118689,58777
4742,58777
4859,58777
54033,58777
96560,58777
96561,58777
10552,58781
63667,58781
134079,58786
15126,58786
19760,58786
23687,58786
50789,58786
57613,58786
85840,58786
111964,58789
10306,58794
2359,58794
8964,58794
101985,58798
120416,58798
121275,58798
32249,58798
116014,58799
116015,58799
12133,58799
137066,58799
62525,58799
106730,58800
111641,58800
121142,58800
121278,58800
124079,58800
130801,58800
3786,58800
509100,58800
511585,58800
514297,58800
99746,58800
105716,58801
105717,58801
105719,58801
4796,58801
85276,58801
100974,58803
11634,58803
121996,58803
125062,58803
126016,58803
129663,58803
49565,58803
105780,58805
39511,58805
39694,58805
42890,58805
4873,58805
51807,58805
56775,58805
59393,58808
8702,58808
88433,58808
9024,58808
122598,58809
54023,58809
71975,58809
94960,58809
98823,58809
118954,58811
4587,58811
71952,58811
110850,58813
22064,58813
49843,58813
23646,58814
63936,58815
112011,58820
10966,58822
41228,58822
53957,58822
61700,58822
90078,58822
112020,58824
7238,58824
9872,58824
11862,58826
135812,58826
16790,58826
16790,58826
13191,58827
4902,58827
61724,58827
98112,58827
106391,58829
118757,58830
118758,58830
62712,58830
111873,58831
118753,58831
118754,58831
121650,58831
138527,58831
139442,58831
4922,58831
502868,58831
503907,58831
503908,58831
19772,58833
9529,58835
126544,58836
3632,58836
118302,58839
139743,58839
503992,58839
507126,58839
81815,58839
119668,58840
119671,58840
58357,58840
100465,58841
115685,58841
125491,58841
12575,58841
24134,58841
9355,58841
4537,58845
107491,58846
118471,58846
118473,58846
12319,58846
130875,58846
131802,58846
134174,58846
134177,58846
104807,58847
125050,58847
13401,58847
15144,58847
4676,58847
96340,58847
40967,58848
58361,58848
58367,58848
76163,58848
76366,58848
85779,58849
85780,58849
9188,58849
97689,58849
110704,58850
122258,58855
13193,58855
49819,58855
75830,58855
112039,58856
117278,58856
126267,58856
75350,58856
109012,58857
111935,58857
112828,58857
130433,58857
19753,58857
44166,58857
4537,58857
56418,58857
74105,58857
85456,58857
88259,58857
91169,58857
103535,58858
12855,58858
134937,58858
135567,58858
139480,58858
85645,58858
118718,58859
59994,58859
120322,58860
23335,58860
108236,58861
116792,58861
121063,58861
124947,58861
36202,58861
11097,58863
122430,58863
4832,58863
96246,58863
100010,58864
10404,58864
108422,58864
131227,58864
4665,58864
120545,58865
125668,58865
129113,58865
133643,58865
134855,58865
135249,58865
135250,58865
19553,58865
502728,58865
59487,58865
118466,58866
121984,58866
24392,58866
114305,58867
23687,58867
50789,58867
85922,58867
112047,58868
121531,58868
121681,58868
129531,58868
138476,58868
53837,58868
106189,58871
120418,58871
42199,58871
26243,58878
53420,58878
63139,58878
105242,58879
111532,58879
135710,58879
139525,58879
500405,58879
500450,58879
82098,58879
11938,58880
39313,58880
82439,58880
9060,58880
96085,58880
112572,58881
125492,58881
127372,58881
134943,58881
20291,58881
105714,58882
10707,58882
107099,58882
115231,58882
115681,58882
116470,58882
118607,58882
118608,58882
122301,58882
122304,58882
13546,58882
14714,58882
15185,58882
23162,58882
24747,58882
36627,58882
5164,58882
73988,58882
79162,58882
8494,58882
89629,58882
91500,58882
94967,58882
96564,58882
